dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),activation,dropout,num_layers,num_neurons
dataset_name,RF,LCB,0,298.9030182361603,-0.04123784146553411,-0.04123784146553411,0.0,relu,0.6514267016354713,3,100
dataset_name,RF,LCB,1,164.2853648662567,0.0529006372368835,0.0529006372368835,0.0,softplus,0.36465738878542603,3,300
dataset_name,RF,LCB,2,123.45736885070801,0.019064936061990712,0.019064936061990712,0.0,softplus,0.7712171734042835,2,300
dataset_name,RF,LCB,3,93.83711576461792,0.02981336802400768,0.02981336802400768,0.0,relu,0.5402566560031494,1,200
dataset_name,RF,LCB,4,115.88962888717651,0.010955074357062071,0.010955074357062071,0.0,relu,0.6488558982160352,1,200
dataset_name,RF,LCB,5,101.9244225025177,-0.04720647641295097,-0.04720647641295097,0.0,relu,0.46412092221442564,3,100
dataset_name,RF,LCB,6,177.41108751296997,0.013463725454857117,0.013463725454857117,0.0,softplus,0.9375792601038013,3,200
dataset_name,RF,LCB,7,283.2298526763916,0.04181379454255202,0.04181379454255202,0.0,softplus,0.22603222661733716,3,100
dataset_name,RF,LCB,8,265.186874628067,0.083585833475619,0.083585833475619,0.0,softplus,0.058002604577155906,3,100
dataset_name,RF,LCB,9,266.53091621398926,0.0484081216197714,0.0484081216197714,0.0,softplus,0.023809285689230426,3,100
dataset_name,RF,LCB,10,196.94550466537476,-0.03770575048166125,-0.03770575048166125,0.0,relu,0.33659112221614523,3,100
dataset_name,RF,LCB,11,196.43065881729126,0.07058424944696763,0.07058424944696763,0.0,softplus,0.28576668584214593,3,100
dataset_name,RF,LCB,12,196.41212558746338,0.08514275098126481,0.08514275098126481,0.0,softplus,0.37663865076963826,3,100
dataset_name,RF,LCB,13,274.2584738731384,0.058328725257081285,0.058328725257081285,0.0,softplus,0.4151979772631797,3,100
dataset_name,RF,LCB,14,196.36895060539246,0.04880280613350095,0.04880280613350095,0.0,softplus,0.445824914170796,3,100
dataset_name,RF,LCB,15,256.46391773223877,0.030280341412349022,0.030280341412349022,0.0,softplus,0.42359310896747426,3,100
dataset_name,RF,LCB,16,147.18645477294922,0.06407670908866313,0.06407670908866313,0.0,softplus,0.3236017984705696,2,100
dataset_name,RF,LCB,17,116.66825580596924,0.040421191442097666,0.040421191442097666,0.0,relu,0.3087752587942988,1,300
dataset_name,RF,LCB,18,111.87505030632019,-0.06456110638838618,-0.06456110638838618,0.0,relu,0.2616019142613705,3,100
dataset_name,RF,LCB,19,188.57975888252258,0.07883877790434662,0.07883877790434662,0.0,softplus,0.3951552955445794,3,100
dataset_name,RF,LCB,20,192.50053763389587,0.06537045274932521,0.06537045274932521,0.0,softplus,0.3865778019715745,1,200
dataset_name,RF,LCB,21,124.78465604782104,0.04178641745372121,0.04178641745372121,0.0,softplus,0.3753529529631322,1,200
dataset_name,RF,LCB,22,216.10914611816406,0.0067333276000952095,0.0067333276000952095,0.0,softplus,0.37984760281518265,3,100
dataset_name,RF,LCB,23,148.38326382637024,0.06795515776250417,0.06795515776250417,0.0,softplus,0.3781603522102561,1,100
dataset_name,RF,LCB,24,212.58679842948914,0.07926649265551544,0.07926649265551544,0.0,softplus,0.38505571827561813,3,100
dataset_name,RF,LCB,25,211.4598307609558,0.047724325562605766,0.047724325562605766,0.0,softplus,0.3839815044626061,3,100
dataset_name,RF,LCB,26,169.50687217712402,0.048523001026924695,0.048523001026924695,0.0,softplus,0.3860253000833406,3,100
dataset_name,RF,LCB,27,161.5500931739807,0.0687455676614825,0.0687455676614825,0.0,softplus,0.37872828224873306,2,100
dataset_name,RF,LCB,28,194.45053052902222,0.034845677624828444,0.034845677624828444,0.0,softplus,0.37961740342629213,3,100
dataset_name,RF,LCB,29,217.98675537109375,0.048688996319431035,0.048688996319431035,0.0,softplus,0.3790776780684348,3,100
